"season","team","conference","off_plays","off_drives","off_ppa","off_total_ppa","off_success_rate","off_explosiveness","off_power_success","off_stuff_rate","off_line_yds","off_line_yds_total","off_second_lvl_yds","off_second_lvl_yds_total","off_open_field_yds","off_open_field_yds_total","off_total_opportunities","off_pts_per_opp","off_field_pos_avg_start","off_field_pos_avg_predicted_points","off_havoc_total","off_havoc_front_seven","off_havoc_db","off_standard_downs_rate","off_standard_downs_ppa","off_standard_downs_success_rate","off_standard_downs_explosiveness","off_passing_downs_rate","off_passing_downs_ppa","off_passing_downs_success_rate","off_passing_downs_explosiveness","off_rushing_plays_rate","off_rushing_plays_ppa","off_rushing_plays_total_ppa","off_rushing_plays_success_rate","off_rushing_plays_explosiveness","off_passing_plays_rate","off_passing_plays_ppa","off_passing_plays_total_ppa","off_passing_plays_success_rate","off_passing_plays_explosiveness","def_plays","def_drives","def_ppa","def_total_ppa","def_success_rate","def_explosiveness","def_power_success","def_stuff_rate","def_line_yds","def_line_yds_total","def_second_lvl_yds","def_second_lvl_yds_total","def_open_field_yds","def_open_field_yds_total","def_total_opportunities","def_pts_per_opp","def_field_pos_avg_start","def_field_pos_avg_predicted_points","def_havoc_total","def_havoc_front_seven","def_havoc_db","def_standard_downs_rate","def_standard_downs_ppa","def_standard_downs_success_rate","def_standard_downs_explosiveness","def_passing_downs_rate","def_passing_downs_ppa","def_passing_downs_total_ppa","def_passing_downs_success_rate","def_passing_downs_explosiveness","def_rushing_plays_rate","def_rushing_plays_ppa","def_rushing_plays_total_ppa","def_rushing_plays_success_rate","def_rushing_plays_explosiveness","def_passing_plays_rate","def_passing_plays_ppa","def_passing_plays_total_ppa","def_passing_plays_success_rate","def_passing_plays_explosiveness"
2018,"Air Force","Mountain West",885,140,0.196208121495872,173.644187523847,0.462146892655367,1.10828713656854,0.775510204081633,0.152639087018545,3.00057061340941,2103,0.995720399429387,698,1.00713266761769,706,76,3.71052631578947,72.2,1.255,0.111,0.084,0.027,0.746892655367232,0.145196550733553,0.51285930408472,0.924932116663542,0.253107344632768,0.346737801290037,0.3125,1.99624930439419,0.792090395480226,0.129175889117671,90.552298271487,0.456490727532097,0.946661335993765,0.196610169491525,0.486097005261289,84.5808789154643,0.454022988505747,1.92211140508397,729,141,0.168439185687934,122.792166366504,0.396433470507545,1.43317321131672,0.658536585365854,0.206185567010309,2.42654639175258,942,0.832474226804124,323,1.15979381443299,0,64,3.78125,70.8,-1.345,0.134,0.092,0.042,0.643347050754458,0.0789248179224629,0.430703624733475,1.15010947169013,0.356652949245542,0.329909333695648,122.423760495507,0.334615384615385,2.09040166424284,0.532235939643347,0.0163812890428149,6.35594014861218,0.34020618556701,1.06888336541506,0.45679012345679,0.367638920406927,122.423760495507,0.453453453453453,1.82373981544395
2018,"Akron","Mid-American",778,164,0.0179962894303086,14.0011131767801,0.345758354755784,1.2305677585968,0.694444444444444,0.237569060773481,2.39502762430939,867,0.983425414364641,356,0.773480662983425,280,64,2.828125,73.3,1.203,0.231,0.138,0.094,0.605398457583548,-0.095733133353444,0.386411889596603,1.00874746783559,0.394601542416452,0.192480192137629,0.283387622149837,1.69460560823519,0.465295629820051,-0.0742010633929989,-26.8607849482656,0.331491712707182,0.888880317474932,0.51413881748072,0.103593342221676,41.4373368886705,0.3325,1.69122201300129,908,162,0.0755303843366926,68.5815889777169,0.421806167400881,1.08302719423897,0.707692307692308,0.206627680311891,2.93099415204678,1504,1.19493177387914,613,1.16374269005848,0,80,3.375,68.1,-1.533,0.159,0.106,0.053,0.681718061674009,0.0324538575343534,0.484652665589661,0.894947847071414,0.318281938325991,0.167794640705717,30.0129442395958,0.28719723183391,1.76283206351928,0.564977973568282,0.078987800344826,40.5207415768958,0.440545808966862,0.914261852523028,0.420704845814978,0.0785679168575808,30.0129442395958,0.37696335078534,1.45922453862566
2018,"Alabama","SEC",1021,180,0.387151318443991,395.281496131315,0.5435847208619,1.23589856456527,0.736263736263736,0.156862745098039,3.40409982174688,1910,1.44919786096257,813,1.23529411764706,693,111,4.54054054054054,68.7,1.494,0.107,0.071,0.035,0.742409402546523,0.284745275417497,0.572559366754617,1.02390879439683,0.257590597453477,0.682298773250391,0.460076045627376,1.99625856665701,0.549461312438785,0.208024431642119,116.701706151229,0.524064171122995,0.879076468980352,0.435847208619001,0.639146501142132,284.420193008249,0.552808988764045,1.76144562797423,986,188,0.0488554545946258,48.171478230301,0.356997971602434,1.31509474277168,0.627450980392157,0.203821656050955,2.72993630573248,1286,0.959660297239915,452,1.18895966029724,0,76,2.86842105263158,73.1,-1.183,0.203,0.12,0.083,0.617647058823529,-0.10155316193218,0.38752052545156,0.984921491260564,0.382352941176471,0.291823219753313,27.7744504435836,0.307692307692308,1.98682653032876,0.477687626774848,0.0401803734472309,18.9249558936458,0.358811040339703,1.00591535212361,0.510141987829615,0.0552175953152755,27.7744504435836,0.343936381709742,1.66066933570051
2018,"App State","Sun Belt",866,161,0.254801805177295,220.658363283538,0.443418013856813,1.33382032888704,0.741379310344828,0.18426103646833,3.08253358925144,1606,1.14011516314779,594,2.39731285988484,1249,90,4.13333333333333,68.9,1.516,0.136,0.08,0.057,0.685912240184757,0.1534717162162,0.486531986531987,1.07583227598241,0.314087759815243,0.476088837687923,0.349264705882353,2.11864714246009,0.60161662817552,0.226293885161348,117.899114169062,0.418426103646833,1.21909706865149,0.384526558891455,0.318437563456259,106.039708630934,0.462462462462462,1.62145652495492,860,170,-0.0135180499201278,-11.62552293131,0.367441860465116,1.07794116733978,0.636363636363636,0.214285714285714,2.63482142857143,1180,0.957589285714286,429,0.763392857142857,0,64,2.546875,71.2,-1.33,0.183,0.114,0.069,0.647674418604651,-0.0711749907944793,0.40754039497307,0.901824833036222,0.352325581395349,0.0924717720832178,-16.7806017977271,0.293729372937294,1.5271367615747,0.52093023255814,0.00912901776107903,4.08979995696341,0.368303571428571,0.925751400437051,0.456976744186047,-0.0426987323097381,-16.7806017977271,0.338422391857506,1.38952502819303
2018,"Arizona","Big 12",894,158,0.20463097009597,182.940087265797,0.422818791946309,1.27870468853706,0.661290322580645,0.164904862579281,3.20253699788584,1515,1.15433403805497,546,1.47568710359408,698,90,3.51111111111111,71.7,1.284,0.105,0.064,0.041,0.684563758389262,0.101775880398026,0.459150326797386,1.03112676611562,0.315436241610738,0.427848398802146,0.343971631205674,1.99591495864451,0.529082774049217,0.12850856276628,60.7845501884506,0.418604651162791,0.953934787779271,0.449664429530201,0.302465429942389,121.59110283684,0.400497512437811,1.82550838538016,904,159,0.194498504405997,175.826647983021,0.415929203539823,1.30548393695892,0.698412698412698,0.218181818181818,2.82386363636364,1243,1.09318181818182,481,1.17045454545455,0,78,3.93589743589744,71.7,-1.253,0.154,0.098,0.055,0.663716814159292,0.0773652793317477,0.453333333333333,1.07624623167824,0.336283185840708,0.425682501263068,127.200509307253,0.342105263157895,1.90502870461607,0.486725663716814,0.119516497298342,52.5872588112704,0.415909090909091,1.05373921248072,0.501106194690266,0.280795826285327,127.200509307253,0.406181015452539,1.62107548509155
2018,"Arizona State","Big 12",912,156,0.22151510941215,202.021779783881,0.452850877192982,1.21428577824363,0.684931506849315,0.19917864476386,2.90924024640657,1417,1.20739219712526,588,1.23613963039014,602,84,3.60714285714286,71.6,1.287,0.149,0.093,0.056,0.697368421052632,0.184380358032553,0.488993710691824,1.06776069752808,0.302631578947368,0.307086493026004,0.369565217391304,1.66104362238611,0.533991228070175,0.167171646828232,81.4125920053488,0.455852156057495,0.993943539131327,0.445175438596491,0.316088493169564,128.331928226843,0.426108374384236,1.65817749151831,933,153,0.173328915097541,161.715877786006,0.461950696677385,1.11510026784308,0.770491803278688,0.195071868583162,2.92977412731006,1427,1.14373716632444,557,1.20739219712526,0,82,3.48780487804878,74.1,-1.109,0.163,0.105,0.058,0.70096463022508,0.118494304482715,0.507645259938838,0.960166590204053,0.29903536977492,0.301865959334444,118.920594359179,0.354838709677419,1.63467583325882,0.521972132904609,0.10415492210835,50.7234470667666,0.457905544147844,0.887138694970215,0.459807073954984,0.277204182655429,118.920594359179,0.445221445221445,1.5220128277589
2018,"Arkansas","SEC",827,164,0.0913318198085115,75.531414981639,0.386940749697703,1.15328946561477,0.8,0.218978102189781,2.769099756691,1138,1.11435523114355,458,1.4014598540146,576,66,3.04545454545455,73.6,1.126,0.22,0.128,0.092,0.634824667472793,0.0156276469222192,0.436190476190476,0.937290612112656,0.365175332527207,0.222936756117463,0.301324503311258,1.69684702003217,0.496977025392987,0.083981625850613,34.516448224602,0.413625304136253,0.904635813927121,0.480048367593712,0.108430034276599,43.0467236078098,0.329974811083123,1.65875036244189,841,155,0.203940670407376,171.514103812603,0.462544589774078,1.1122822031586,0.707692307692308,0.158241758241758,3.12395604395604,1421,1.12307692307692,511,0.991208791208791,0,89,3.60674157303371,68,-1.589,0.161,0.106,0.055,0.717003567181926,0.11310917343678,0.500829187396352,0.920552116983442,0.282996432818074,0.4340725723959,113.699030089783,0.365546218487395,1.77782801953672,0.5410225921522,0.129634973989766,58.9839131653434,0.454945054945055,0.883775453768813,0.439952437574316,0.307294675918333,113.699030089783,0.448648648648649,1.51147649121129
2018,"Arkansas State","Sun Belt",994,171,0.196248195386993,195.070706214671,0.44466800804829,1.20238647754325,0.676470588235294,0.131687242798354,3.32283950617284,1615,1.21604938271605,591,1.27572016460905,620,91,3.3956043956044,71.4,1.323,0.139,0.081,0.057,0.685110663983903,0.10571552239929,0.493392070484582,1.00826887378237,0.314889336016097,0.393221838532761,0.338658146964856,1.81770265550226,0.488933601609658,0.15017389642324,72.9845136616948,0.438271604938272,0.929686321514812,0.496981891348089,0.263921292279758,130.3771183862,0.435222672064777,1.58940726709155,869,172,0.119857559522636,104.156219225171,0.394706559263521,1.34030173854465,0.651515151515151,0.24390243902439,2.58577235772358,1272,1.21138211382114,596,1.9979674796748,0,74,3.39189189189189,73.4,-1.174,0.198,0.132,0.066,0.630609896432681,0.0217091921923887,0.441605839416058,1.02637096983476,0.369390103567319,0.287413027737514,50.5828613945217,0.314641744548287,2.09249229327529,0.566168009205984,0.120975960699746,59.5201726642749,0.42479674796748,1.11917285383562,0.422324510932106,0.137827960203056,50.5828613945217,0.343324250681199,1.80696011176785
2018,"Army","American Athletic",920,123,0.288180142582773,265.125731176152,0.483695652173913,1.09276338725096,0.861538461538462,0.111519607843137,3.24754901960784,2650,0.993872549019608,811,1.04044117647059,849,74,4.95945945945946,69.4,1.447,0.067,0.05,0.016,0.75,0.271178002734489,0.534782608695652,0.959179753094685,0.25,0.339186562127626,0.330434782608696,1.7413470846676,0.88695652173913,0.241990725289931,197.464431836584,0.485294117647059,0.977892515577168,0.104347826086957,0.747435599387524,71.7538175412023,0.427083333333333,2.51528754535982,697,126,0.138672626246002,96.6548204934636,0.42180774748924,1.19601117962385,0.625,0.194690265486726,2.92330383480826,991,1.12979351032448,383,1.21828908554572,0,60,3.1,72.1,-1.222,0.177,0.103,0.074,0.670014347202296,0.123270283303194,0.490364025695931,0.99788188567609,0.329985652797704,0.169946079090748,83.7691107925617,0.282608695652174,1.89403592291674,0.486370157819225,0.0349632824566237,11.8525527527954,0.421828908554572,0.814829014524986,0.503586800573888,0.238658435306444,83.7691107925617,0.41025641025641,1.62551097766829
2018,"Auburn","SEC",906,166,0.156212872153283,141.528862170874,0.440397350993377,1.12758686583454,0.641025641025641,0.186475409836066,2.97704918032787,1453,1.12295081967213,548,0.815573770491803,398,89,3.41573033707865,67.9,1.578,0.144,0.095,0.049,0.714128035320088,0.0991767733581791,0.489953632148377,0.925926001288121,0.285871964679912,0.298693010842211,0.316602316602317,1.90717825682494,0.538631346578366,0.0577287073996283,28.1716092110186,0.44672131147541,0.830667317292268,0.443708609271523,0.289141789086674,116.234999212843,0.412935323383085,1.62432552789339,915,169,0.0660039830978339,60.393644534518,0.370491803278689,1.23313905104306,0.636363636363636,0.237556561085973,2.70045248868778,1194,1.11764705882353,494,1.2262443438914,0,79,2.48101265822785,72.8,-1.191,0.194,0.12,0.074,0.618579234972678,-0.02602430350763,0.413427561837456,0.998396854950738,0.381420765027322,0.215253296045377,61.4691284138278,0.300859598853868,1.75627880233451,0.483060109289618,0.00506389286006581,2.23824064414909,0.3710407239819,0.936946597921459,0.493989071038251,0.135993646933247,61.4691284138278,0.34070796460177,1.73823779719439
