"season","first_name","last_name","position","origin","destination","transfer_date","rating","stars","eligibility"
2021,"Michael","Ruane","LB","Massachusetts","Villanova",2020-12-02,NA,3,"Immediate"
2021,"Hal","Vinson","LB","Texas State",NA,2020-12-02,NA,3,"TBD"
2021,"Chandler","Whitfield","WR","UL Monroe",NA,2020-12-01,NA,3,"TBD"
2021,"Kade","Renfro","QB","Ole Miss","Arkansas",2020-12-02,NA,3,"TBD"
2021,"Dave","Small","RB","South Florida","University of Mary",2020-12-01,NA,NA,"TBD"
2021,"Will","Mobley","K","Temple","Minnesota",2020-12-01,NA,NA,"Immediate"
2021,"Jeremiah","Fails","WR","Western Kentucky","Rhode Island",2020-12-01,NA,2,"TBD"
2021,"Stephone","Atkinson","EDGE","Western Kentucky",NA,2020-12-01,NA,3,"TBD"
2021,"Johnathon","Weir","LB","Massachusetts",NA,2020-12-01,NA,NA,"TBD"
2021,"Liam","Byrne","WR","Georgia Tech",NA,2020-12-01,NA,NA,"TBD"
2021,"Jeremiah","Salaam","CB","Kent State",NA,2020-12-01,NA,2,"TBD"
2021,"Kevaris","Thomas","QB","Western Kentucky",NA,2020-12-01,NA,3,"TBD"
2021,"Samuel","Williams","OT","UL Monroe","Louisiana Tech",2020-12-01,0.81,3,"TBD"
2021,"Adrion","Taylor","S","Navy",NA,2020-11-30,NA,2,"TBD"
2021,"Cedrick","Wilcox","RB","Marshall",NA,2020-11-30,NA,3,"TBD"
2021,"Jakson","Thomson","QB","Louisiana Tech",NA,2020-11-30,NA,3,"TBD"
2021,"DeShawn","Collins","RB","California",NA,2020-11-30,NA,3,"TBD"
2021,"Hozey","Haji-Badri","DL","East Carolina","Western Michigan",2020-11-30,NA,3,"Immediate"
2021,"Michael","Bonds","QB","Miami (OH)",NA,2020-11-30,NA,3,"Immediate"
2021,"Colby","Suits","QB","UL Monroe",NA,2020-11-30,0.81,3,"TBD"
2021,"LeMaro","Smith","WR","Buffalo",NA,2020-11-30,NA,2,"TBD"
2021,"Darryle","Simmons","WR","Virginia Tech",NA,2020-11-30,NA,3,"TBD"
2021,"Maika","Magalei","LB","Utah State",NA,2020-11-30,NA,NA,"Immediate"
2021,"Robert","Kennedy","S","East Carolina","Old Dominion",2020-12-01,NA,2,"Immediate"
2021,"Davis","Shanley","QB","Western Kentucky",NA,2020-11-30,NA,2,"TBD"
2021,"Kendrell","Flowers","RB","Wake Forest",NA,2020-11-29,NA,3,"TBD"
2021,"Tony","Wallace","CB","TCU",NA,2020-11-16,NA,3,"TBD"
2021,"Edric","Whitley","CB","Arizona",NA,2020-11-26,NA,3,"TBD"
2021,"Elijah","Bowick","WR","Virginia Tech","North Carolina A&T",2020-11-25,NA,3,"TBD"
2021,"Tyler","Glass","S","UL Monroe",NA,2020-11-25,NA,2,"TBD"
2021,"Dorien","Goddard","WR","Virginia",NA,2020-11-24,NA,3,"TBD"
2021,"Garland","LaFrance","S","Western Kentucky",NA,2020-11-24,NA,3,"TBD"
2021,"Emanuel","Dabney","CB","Liberty",NA,2020-11-23,NA,3,"Immediate"
2021,"Justin","Bellido","WR","Boston College","Notre Dame College",2020-11-23,NA,3,"TBD"
2021,"Titus","Jones","IOL","Memphis","Nicholls",2020-11-23,NA,3,"TBD"
2021,"Demetrious","Flowers","RB","Arizona State",NA,2020-11-23,NA,3,"TBD"
2021,"Pierce","Withers","S","Texas State",NA,2020-11-20,NA,3,"TBD"
2021,"Maverick","Wolfley","TE","Akron","West Florida",2020-11-20,NA,3,"TBD"
2021,"Kory","Gainwell","RB","Memphis","Delta State",2020-11-19,NA,3,"TBD"
2021,"Rashad","Beecham","WR","UTEP",NA,2020-11-18,NA,2,"TBD"
2021,"Trenell","Troutman","LB","Louisville",NA,2020-11-18,NA,4,"TBD"
2021,"Dominic","Gicinto","WR","Missouri",NA,2020-11-18,NA,3,"TBD"
2021,"Tacorey","Turner","CB","West Virginia",NA,2020-11-17,NA,3,"TBD"
2021,"John","Dunmore","WR","Penn State","Florida Atlantic",2020-11-17,0.81,3,"TBD"
2021,"Jevon","Jones","CB","Arkansas State",NA,2020-11-17,NA,3,"TBD"
2021,"Lonkevious","McFadden","WR","Kent State","Eastern Kentucky",2020-11-17,NA,3,"TBD"
2021,"Lamarius","Benson","IOL","UCF",NA,2020-11-17,NA,3,"TBD"
2021,"Brady","Martin","QB","Rhode Island","Arkansas State",2020-11-16,NA,3,"PendingAppeal"
2021,"Charles","Fletcher","OG","NC State","Texas State",2020-11-16,NA,2,"Immediate"
2021,"Jack","Abraham","QB","Southern Miss","Mississippi State",2020-11-20,0.81,3,"Immediate"
2021,"Akil","Francisco","CB","Hawai'i",NA,2020-11-16,NA,2,"TBD"
2021,"Darriel","Mack","QB","UCF","Old Dominion",2020-11-12,0.81,3,"TBD"
2021,"Jacione","Fugate","S","Charlotte",NA,2020-11-12,NA,2,"TBD"
