"","athlete_id","first_name","last_name","team","season","post_ppa","years_in_college","prev_pass_yds","prev_pass_td","prev_avg_ppa","dest_off_ppa","dest_sp_offense","is_transfer"
"712",4870513,"Maddux","Madsen","Boise State",2023,79.442,2,43,0,0.75,0.236995540795516,32.7,0
"713",4870518,"Zeon","Chriss","Louisiana",2023,104.242,2,109,1,0.643,0.206408572771276,32.4,0
"714",4873077,"Brayten","Silbor","Lehigh",2023,117.213,2,229,0,0.471,NA,NA,0
"715",4874519,"Gunnar","Gundy","Oklahoma State",2023,10.512,3,247,3,0.487,0.171482782515895,32.8,0
"716",4875854,"Ben","Harris","North Alabama",2023,-0.069,3,6,1,0.333,NA,NA,0
"717",4875866,"Reese","Poffenbarger","UAlbany",2023,170.093,3,2999,24,0.615,NA,NA,0
"718",4876066,"Zevi","Eckhaus","Bryant",2023,189.51,3,3228,26,0.608,NA,NA,0
"719",4876109,"Jaden","Jones","Cal Poly",2023,-11.004,2,660,5,0.57,NA,NA,0
"720",4876140,"Kekoa","Visperas","Eastern Washington",2023,108.834,2,322,3,0.659,NA,NA,0
"721",4876199,"Daniel","Britt","Northern Arizona",2023,-2.071,2,269,2,0.684,NA,NA,1
"722",4876244,"RJ","Martinez","Baylor",2023,-4.589,3,2888,16,0.661,0.132696701324553,24.5,1
"723",4876423,"Tommy","Brown","Wagner",2023,0.331,2,7,0,0.2,NA,NA,0
"724",4876457,"Jake","Willcox","Brown",2023,167.398,2,1761,12,0.642,NA,NA,0
"725",4876789,"Luke","Durkin","Davidson",2023,5.36,2,440,6,0.65,NA,NA,0
"726",4876810,"Blake","Ellingson","Drake",2023,-6.973,2,103,1,0.563,NA,NA,0
"727",4876839,"Frankie","Savino","Monmouth",2023,3.669,2,21,0,1,NA,NA,0
"728",4876865,"Carter","Cravens","Morehead State",2023,84.649,2,638,1,0.496,NA,NA,0
"729",4877040,"Ahmad","Green","The Citadel",2023,4.035,2,198,1,0.485,NA,NA,0
"730",4877211,"Jace","Wilson","Texas Southern",2023,20.674,2,515,4,0.639,NA,NA,1
"731",4877296,"CJ","Ogbonna","Buffalo",2023,8.754,3,6,0,0.222,0.049970213968983,15.3,1
"732",4877380,"Quincy","Crittendon","Samford",2023,-0.797,2,413,4,0.603,NA,NA,0
"733",4877561,"Brody","Palhegyi","Western Carolina",2023,30.766,2,33,1,0.667,NA,NA,0
"734",4877717,"Matthew","Caldwell","Gardner-Webb",2023,26.605,2,374,1,0.6,NA,NA,0
"735",4877782,"Ah-Shaun","Davis","Lafayette",2023,-0.06,2,644,6,0.575,NA,NA,0
"736",4877811,"Billy","Atkins","James Madison",2023,0.552,2,212,2,0.442,0.228099472132211,34.6,0
"737",4877890,"Kyle","Wickersham","Richmond",2023,70.16,2,36,1,1,NA,NA,0
"738",4878118,"Daron","Bryden","Stony Brook",2023,9.833,2,954,7,0.494,NA,NA,0
"739",4878151,"Darius","Wilson","William & Mary",2023,58.836,3,2252,16,0.63,NA,NA,0
"740",4878197,"Jameson","Wang","Cornell",2023,181.616,2,1650,14,0.573,NA,NA,0
"741",4878223,"Jackson","Proctor","Dartmouth",2023,68.906,2,75,1,0.667,NA,NA,0
"742",4878255,"Aidan","Sayin","Pennsylvania",2023,94.476,2,2344,18,0.649,NA,NA,0
"743",4878284,"Tommy","Rittenhouse","Illinois State",2023,14.808,2,242,0,0.526,NA,NA,0
"744",4878681,"Davis","Warren","Michigan",2023,-4.611,2,89,0,0.556,0.289624002498952,36.6,0
"745",4878834,"Matt","Morrissey","Western Illinois",2023,105.02,2,0,0,0,NA,NA,1
"746",4878885,"Cade","Rice","Wofford",2023,-0.017,2,5,0,0.25,NA,NA,0
"747",4878988,"Gavin","McCusker","Merrimack",2023,26.411,2,1013,10,0.472,NA,NA,0
"748",4879058,"Joe","Pesansky","Holy Cross",2023,24.213,2,95,0,0.471,NA,NA,0
"749",4879079,"Brock","Bagozzi","Marist",2023,43.688,2,2004,10,0.585,NA,NA,0
"750",4879091,"Logan","Brabham","Marist",2023,28.605,2,63,0,0.667,NA,NA,0
"751",4879147,"Michael","Appel Jr.","Valparaiso",2023,-6.275,2,1391,7,0.567,NA,NA,0
"752",4879225,"Simon","Romfo","North Dakota",2023,1.801,2,7,0,1,NA,NA,0
"753",4879250,"Cole","Payton","North Dakota State",2023,60.518,2,51,0,0.667,0.352259370634509,NA,0
"754",4879928,"Bryson","Daily","Army",2023,75.388,2,0,0,0,0.123460737492256,18.4,0
"755",4880252,"Giles","Pooler","Colorado State",2023,4.327,2,144,0,0.344,0.149388234277409,21.9,0
"756",4880272,"Byrum","Brown","South Florida",2023,182.947,2,404,5,0.72,0.155652190430286,28.4,0
"757",4882088,"Alston","Hooker","North Carolina A&T",2023,9.67,2,40,0,0.308,NA,NA,0
"758",4883675,"Ryan","Roberts","McNeese",2023,18.777,2,276,1,0.481,NA,NA,0
"759",4884086,"Jalen","Macon","Arkansas-Pine Bluff",2023,31.353,2,169,1,0.522,NA,NA,0
"760",4884392,"Chris","Zellous","Hampton",2023,33.185,2,376,3,0.523,NA,NA,0
"761",4885435,"Cole","Dugger","Lindenwood",2023,56.766,2,197,4,0.65,NA,NA,0
"762",4887151,"Andrew","Body","Texas Southern",2023,14.056,3,1815,13,0.561,NA,NA,0
"763",4887446,"Gevani","McCoy","Idaho",2023,173.634,2,2735,27,0.684,NA,NA,0
"764",4887635,"Brady","Meitz","Stetson",2023,66.004,2,1993,15,0.584,NA,NA,0
"765",4887689,"Duce","Taylor","Morgan State",2023,9.747,3,560,4,0.345,NA,NA,0
"766",4888130,"Noah","Bodden","Southern",2023,22.635,2,70,1,0.75,NA,NA,0
"767",4889929,"Quinn","Ewers","Texas",2023,177.921,2,2128,15,0.58,0.254195416423556,39.3,0
"768",4890365,"Tyler","Szalkowski","Robert Morris",2023,6.422,2,28,1,0.5,NA,NA,1
"769",4893657,"Gavin","Wimsatt","Rutgers",2023,81.144,3,757,5,0.451,0.115842829681965,21,0
"770",4895835,"Malcolm","Brown","Morgan State",2023,2.039,2,6,0,1,NA,NA,0
"771",4896184,"C.J.","Henry","Delaware State",2023,-0.101,2,1014,9,0.619,NA,NA,0
"772",4899046,"Brendan","Sorsby","Indiana",2023,83.517,2,8,0,0.5,0.117404616461983,19.6,0
"773",4911929,"Alonza","Barnett III","James Madison",2023,-4.98,2,14,0,1,0.228099472132211,34.6,0
"774",4911961,"Jack","Lausch","Northwestern",2023,-2.791,2,68,0,0.5,0.0911848390455528,18.5,0
"775",4915980,"John","Mateer","Washington State",2023,17.659,2,32,1,1,0.193157587496122,31,0
"776",4916436,"E.J.","Warner","Temple",2023,144.436,2,3028,18,0.605,0.107502565210674,18.6,0
"777",4916888,"Bert","Emanuel Jr.","Central Michigan",2023,24.641,2,54,0,0.5,0.139343969077876,16.8,0
