"","season","athlete_id","name","position","team","conference","avg_PPA_all","avg_PPA_pass","avg_PPA_rush","avg_PPA_first_down","avg_PPA_second_down","avg_PPA_third_down","avg_PPA_standard_downs","avg_PPA_passing_downs","total_PPA_all","total_PPA_pass","total_PPA_rush","total_PPA_first_down","total_PPA_second_down","total_PPA_third_down","total_PPA_standard_downs","total_PPA_passing_downs","countable_plays"
"31",2021,"4030627","Donnell Williams","WR","UT Martin","",0.777,0.777,NA,-0.448,1.498,1.822,0.299,1.735,6.995,6.995,0,-1.79,1.498,7.288,1.792,5.204,NA
"32",2021,"4030676","Tommy McIntyre","TE","SMU","AAC",0.945,0.945,NA,0.599,0.939,1.992,1.173,0.489,5.668,5.668,0,1.797,1.879,1.992,4.691,0.977,NA
"33",2021,"4030797","Anthony B. Williams","TE","Norfolk State","",0.59,0.59,NA,0.59,NA,NA,0.59,NA,1.179,1.179,0,1.179,0,0,1.179,0,NA
"34",2021,"4030926","Isaiah Weston","WR","Northern Iowa","",-0.059,-0.059,NA,-0.766,NA,0.177,-0.935,0.817,-0.236,-0.236,0,-0.766,0,0.53,-1.871,1.635,NA
"35",2021,"4030947","Drew Estrada","WR","Baylor","B12",0.337,0.448,-0.571,0.231,0.191,0.546,0.251,0.516,15.521,18.378,-2.856,4.614,3.254,4.367,7.778,7.743,NA
"36",2021,"4031136","Connor Sampson","QB","Western Illinois","",0.291,0.293,0.267,0.401,0.4,0.184,0.443,-0.003,13.688,12.888,0.8,7.212,6.393,2.024,13.737,-0.049,NA
"37",2021,"4031140","Clint Ratkovich","RB","Northern Illinois","MAC",0.387,0.597,0.35,0.241,0.456,0.273,0.481,-0.011,46.449,10.751,35.698,10.103,15.492,9.265,46.7,-0.252,NA
"38",2021,"4032198","Breylin Smith","QB","Central Arkansas","",0.139,0.148,-0.234,0.312,0.008,0.042,0.239,0.008,6.133,6.367,-0.234,5.62,0.133,0.38,5.975,0.158,NA
"39",2021,"4032201","Kierre Crossley","RB","Arkansas-Pine Bluff","",-0.18,-0.187,-0.179,-0.71,0.527,3.53,-0.71,1.278,-2.701,-0.375,-2.326,-7.813,1.582,3.53,-7.813,5.112,NA
"40",2021,"4032247","Raleigh Webb","WR","The Citadel","",1.341,0.852,2.32,1.837,0.349,NA,1.837,0.349,4.023,1.703,2.32,3.674,0.349,0,3.674,0.349,NA
"41",2021,"4032473","Rashid Shaheed","WR","Weber State","",-0.173,-0.221,0.067,-0.298,-0.658,1.529,-0.53,0.184,-1.039,-1.106,0.067,-0.596,-1.973,1.529,-1.59,0.551,NA
"42",2021,"4032491","Aubry Payne","TE","Georgia State","SBC",0.834,0.851,0.381,0.831,0.587,1.638,0.712,1.091,23.353,22.972,0.381,9.968,6.453,6.551,13.532,9.821,NA
"43",2021,"4032504","Daquan Patten","WR","Western Carolina","",2.054,2.054,NA,NA,NA,2.054,NA,2.054,2.054,2.054,0,0,0,2.054,0,2.054,NA
"44",2021,"4032528","Nick Lorden","WR","New Hampshire","",0.122,0.122,NA,NA,NA,0.122,NA,0.122,0.122,0.122,0,0,0,0.122,0,0.122,NA
"45",2021,"4032570","Anthony Mague","WR","William & Mary","",1.159,1.159,NA,1.159,NA,NA,1.159,NA,1.159,1.159,0,1.159,0,0,1.159,0,NA
"46",2021,"4032625","Ra'Shaun Henry","WR","Virginia","ACC",0.588,0.588,NA,0.575,0.816,1.134,0.682,0.398,33.493,33.493,0,16.667,12.246,11.344,25.922,7.571,NA
"47",2021,"4032739","Joey Kenny","TE","Rhode Island","",1.516,1.516,NA,1.516,NA,NA,1.516,NA,3.031,3.031,0,3.031,0,0,3.031,0,NA
"48",2021,"4032822","Mason Sikes","TE","Western Illinois","",0.033,0.033,NA,NA,0.033,NA,NA,0.033,0.033,0.033,0,0,0.033,0,0,0.033,NA
"49",2021,"4032869","Kendrick Price","WR","Northwestern State","",6.257,6.257,NA,NA,6.257,NA,NA,6.257,6.257,6.257,0,0,6.257,0,0,6.257,NA
"50",2021,"4033850","Tyquell Fields","QB","Stony Brook","",0.056,0.067,0.004,0.461,-0.305,0.079,0.31,-0.181,1.621,1.599,0.022,2.765,-3.353,0.792,4.337,-2.716,NA
"51",2021,"4034303","Chris Ferguson","QB","Towson","",0.35,0.35,NA,-0.124,0.871,0.204,0.04,0.562,12.961,12.961,0,-1.484,12.196,2.249,0.607,12.354,NA
"52",2021,"4034306","Josh Mack","RB","Liberty","Ind",-0.046,-0.433,-0.006,-0.189,0.188,-0.04,-0.08,0.204,-4.918,-4.331,-0.587,-12.126,5.445,-0.567,-7.565,2.646,NA
"53",2021,"4034607","Liam Welch","QB","Samford","",0.287,0.285,0.293,0.133,0.158,1.037,0.129,0.61,20.076,16.268,3.807,4.001,4.099,11.407,6.049,14.027,NA
